End of Epoch: 1  |  Train Loss: 0.696  |  Validation Loss: 0.692  |  Train Acc: 50.05%  |  Validation Acc: 49.52% 
End of Epoch: 2  |  Train Loss: 0.693  |  Validation Loss: 0.689  |  Train Acc: 50.38%  |  Validation Acc: 53.61% 
End of Epoch: 3  |  Train Loss: 0.690  |  Validation Loss: 0.678  |  Train Acc: 52.53%  |  Validation Acc: 61.54% 
End of Epoch: 4  |  Train Loss: 0.657  |  Validation Loss: 0.639  |  Train Acc: 62.30%  |  Validation Acc: 66.59% 
End of Epoch: 5  |  Train Loss: 0.614  |  Validation Loss: 0.656  |  Train Acc: 67.59%  |  Validation Acc: 68.27% 
End of Epoch: 6  |  Train Loss: 0.586  |  Validation Loss: 0.629  |  Train Acc: 70.37%  |  Validation Acc: 71.88% 
End of Epoch: 7  |  Train Loss: 0.552  |  Validation Loss: 0.595  |  Train Acc: 73.82%  |  Validation Acc: 72.12% 
End of Epoch: 8  |  Train Loss: 0.532  |  Validation Loss: 0.548  |  Train Acc: 75.55%  |  Validation Acc: 75.48% 
End of Epoch: 9  |  Train Loss: 0.519  |  Validation Loss: 0.565  |  Train Acc: 75.76%  |  Validation Acc: 77.64% 
End of Epoch: 10  |  Train Loss: 0.497  |  Validation Loss: 0.563  |  Train Acc: 77.53%  |  Validation Acc: 75.72% 
End of Epoch: 11  |  Train Loss: 0.494  |  Validation Loss: 0.551  |  Train Acc: 77.82%  |  Validation Acc: 78.12% 
End of Epoch: 12  |  Train Loss: 0.484  |  Validation Loss: 0.561  |  Train Acc: 78.56%  |  Validation Acc: 76.92% 
End of Epoch: 13  |  Train Loss: 0.471  |  Validation Loss: 0.536  |  Train Acc: 79.47%  |  Validation Acc: 76.44% 
End of Epoch: 14  |  Train Loss: 0.462  |  Validation Loss: 0.528  |  Train Acc: 79.71%  |  Validation Acc: 75.48% 
End of Epoch: 15  |  Train Loss: 0.452  |  Validation Loss: 0.510  |  Train Acc: 80.23%  |  Validation Acc: 77.64% 
End of Epoch: 16  |  Train Loss: 0.443  |  Validation Loss: 0.514  |  Train Acc: 81.44%  |  Validation Acc: 78.61% 
End of Epoch: 17  |  Train Loss: 0.432  |  Validation Loss: 0.508  |  Train Acc: 81.54%  |  Validation Acc: 78.61% 
End of Epoch: 18  |  Train Loss: 0.430  |  Validation Loss: 0.527  |  Train Acc: 81.53%  |  Validation Acc: 78.85% 
