End of Epoch: 1  |  Train Loss: 0.695  |  Validation Loss: 0.694  |  Train Acc: 50.81%  |  Validation Acc: 51.20% 
End of Epoch: 2  |  Train Loss: 0.693  |  Validation Loss: 0.705  |  Train Acc: 50.84%  |  Validation Acc: 49.76% 
End of Epoch: 3  |  Train Loss: 0.691  |  Validation Loss: 0.695  |  Train Acc: 51.54%  |  Validation Acc: 51.20% 
End of Epoch: 4  |  Train Loss: 0.690  |  Validation Loss: 0.691  |  Train Acc: 51.81%  |  Validation Acc: 52.64% 
End of Epoch: 5  |  Train Loss: 0.688  |  Validation Loss: 0.688  |  Train Acc: 52.81%  |  Validation Acc: 56.01% 
End of Epoch: 6  |  Train Loss: 0.688  |  Validation Loss: 0.679  |  Train Acc: 53.47%  |  Validation Acc: 55.77% 
End of Epoch: 7  |  Train Loss: 0.660  |  Validation Loss: 0.683  |  Train Acc: 61.92%  |  Validation Acc: 59.62% 
End of Epoch: 8  |  Train Loss: 0.631  |  Validation Loss: 0.691  |  Train Acc: 66.46%  |  Validation Acc: 58.89% 
End of Epoch: 9  |  Train Loss: 0.615  |  Validation Loss: 0.662  |  Train Acc: 67.63%  |  Validation Acc: 64.42% 
End of Epoch: 10  |  Train Loss: 0.592  |  Validation Loss: 0.652  |  Train Acc: 71.05%  |  Validation Acc: 66.35% 
End of Epoch: 11  |  Train Loss: 0.576  |  Validation Loss: 0.598  |  Train Acc: 71.76%  |  Validation Acc: 72.36% 
End of Epoch: 12  |  Train Loss: 0.559  |  Validation Loss: 0.586  |  Train Acc: 72.58%  |  Validation Acc: 74.52% 
End of Epoch: 13  |  Train Loss: 0.551  |  Validation Loss: 0.575  |  Train Acc: 74.07%  |  Validation Acc: 73.80% 
End of Epoch: 14  |  Train Loss: 0.527  |  Validation Loss: 0.586  |  Train Acc: 75.44%  |  Validation Acc: 73.80% 
End of Epoch: 15  |  Train Loss: 0.516  |  Validation Loss: 0.550  |  Train Acc: 76.01%  |  Validation Acc: 74.28% 
End of Epoch: 16  |  Train Loss: 0.497  |  Validation Loss: 0.573  |  Train Acc: 77.86%  |  Validation Acc: 76.44% 
End of Epoch: 17  |  Train Loss: 0.484  |  Validation Loss: 0.566  |  Train Acc: 78.22%  |  Validation Acc: 73.32% 
End of Epoch: 18  |  Train Loss: 0.476  |  Validation Loss: 0.589  |  Train Acc: 78.84%  |  Validation Acc: 71.15% 
End of Epoch: 19  |  Train Loss: 0.465  |  Validation Loss: 0.578  |  Train Acc: 79.77%  |  Validation Acc: 72.36% 
End of Epoch: 20  |  Train Loss: 0.466  |  Validation Loss: 0.560  |  Train Acc: 79.17%  |  Validation Acc: 72.60% 
End of Epoch: 21  |  Train Loss: 0.452  |  Validation Loss: 0.516  |  Train Acc: 80.76%  |  Validation Acc: 74.52% 
End of Epoch: 22  |  Train Loss: 0.441  |  Validation Loss: 0.492  |  Train Acc: 81.18%  |  Validation Acc: 78.61% 
End of Epoch: 23  |  Train Loss: 0.431  |  Validation Loss: 0.508  |  Train Acc: 81.68%  |  Validation Acc: 79.33% 
