Id,Cyberbullying,Insult,Profanity,Sarcasm,Threat,Exclusion,Pornography,Spam
'1134395760844427264,0,0,0,0,0,0,0,0
'1132686520333283329,0,0,1,0,0,0,0,0
'1132731795945009154,0,0,1,0,0,0,0,0
'1135066181386342401,0,0,1,0,0,0,0,0
'1133413785018834944,0,0,1,0,0,0,1,1
'1132834361945014273,0,0,0,0,0,0,0,0
'1132742436185411584,0,1,1,0,0,0,0,0
'1135042251619311616,0,0,1,0,0,0,0,0
'1132820614924918789,0,0,0,0,0,0,0,0
'1132716275820630016,0,0,1,0,0,0,0,0
'1133446982402564097,0,0,1,0,0,0,0,0
'1132713774773751808,0,0,1,0,0,0,1,1
'1132950375672242176,0,1,1,0,0,0,0,0
'1132830803505897472,0,0,0,0,0,0,0,0
'1132923507988414464,0,0,0,0,0,0,1,1
'1133417755841974272,0,1,1,0,0,0,0,0
'1132686974576418816,0,0,1,0,0,0,0,0
'1132692246690705408,0,0,1,0,0,0,0,0
'1132730862687129600,0,0,1,0,0,0,1,1
'1132993411169050625,0,0,1,0,0,0,0,0
'1132854893000175617,0,1,1,0,0,0,1,1
'1133123921841184769,0,1,1,0,0,0,0,0
'1132989358028533760,0,0,0,0,0,0,0,0
'1132725806923362304,0,0,1,0,0,0,0,0
'1133628846073425920,1,1,1,0,0,0,0,0
'1132768287815852032,0,0,1,0,0,0,0,0
'1135133040177553408,0,1,1,0,0,0,1,1
'1135074796818128896,0,1,1,0,0,0,0,0
'1133325559382069248,0,0,0,0,0,0,0,0
'1133389882359996417,0,0,1,0,0,0,1,1
'1132704147889905666,0,0,1,0,0,0,0,0
'1133407313178615809,0,0,1,0,0,0,1,0
'1133477737186975746,0,1,1,0,0,0,1,1
'1132830896657182721,0,0,1,0,0,0,0,0
'1132693516973498369,0,0,1,0,0,0,0,0
'1135199768685240320,0,0,1,0,0,0,1,1
'1133115997261565953,1,1,1,0,0,0,0,0
'1132730985697558528,0,0,1,0,0,0,0,0
'1135196128155246594,0,1,1,0,0,0,1,1
'1132736293144801280,0,0,1,0,0,0,0,0
'1135102031436374016,0,0,0,0,0,0,0,0
'1132965250163195905,0,0,1,0,0,0,0,0
'1132988576378052608,0,0,1,0,0,0,0,0
'1133373757832273921,0,0,0,0,0,0,0,0
'1132715106700279809,0,0,1,0,0,0,0,0
'1132737069846024192,0,0,1,0,0,0,0,0
'1132685439075323906,1,0,1,0,0,0,0,0
'1134516389266493445,0,0,0,0,0,0,0,0
'1132990728118759424,0,0,1,0,0,0,0,0
'1133155974070636544,0,0,1,0,0,0,0,0
'1135160874094776321,0,0,1,0,0,0,0,0
'1132992442305732608,0,0,1,0,0,0,0,0
'1132727228083658752,0,0,1,0,0,0,0,0
'1132856507564023809,0,0,0,0,0,0,0,0
'1133213602607800320,0,0,1,0,0,0,0,0
'1132687035473563648,0,0,1,0,0,0,1,1
'1133873377242955776,1,1,1,0,0,0,0,0
'1132735048220925952,0,0,1,0,0,0,0,0
'1133445945734160384,0,1,1,0,0,0,1,1
'1132713472733720577,0,0,0,0,0,0,0,0
'1133388098434469893,0,0,1,0,0,0,1,1
'1132723085105422344,0,0,1,0,0,0,0,0
'1135201083389665282,0,0,0,0,0,0,0,0
'1132692066201460741,0,0,1,0,0,0,0,0
'1135151669354868736,0,1,1,0,0,0,1,1
'1133421364826652673,0,0,1,0,0,0,1,0
'1133249085622902784,0,0,0,0,0,0,0,0
'1133404113016901632,0,0,1,0,0,0,1,0
'1132925368455913473,0,1,1,0,0,0,0,0
'1133297368869351424,0,0,1,0,0,0,0,0
'1133399852157562880,0,0,1,0,0,0,1,1
'1132755538054455297,0,0,1,0,0,0,0,0
'1132763632239087618,0,0,1,0,0,0,1,1
'1132828916614406144,0,0,1,0,0,0,0,0
'1134517241834364928,0,0,1,0,0,0,0,0
'1132736317320830976,0,0,1,0,0,0,0,0
'1133410180786401280,0,0,1,0,0,0,1,0
'1132991329347211264,0,0,1,0,0,0,0,0
'1133452324238766085,1,1,1,0,0,0,0,0
'1132859747189821440,0,0,0,0,0,0,0,0
'1132693218829717504,0,0,0,0,0,0,0,0
'1133183313584283648,0,0,1,0,0,0,0,0
'1132727149000101889,0,0,1,0,0,0,0,0
'1134404025401643010,0,0,0,0,0,0,0,0
'1133587992663265282,0,0,1,0,0,0,1,1
'1135047510777585664,0,0,1,0,0,0,0,0
'1132715431892881408,0,0,1,0,0,0,0,0
'1132686322949185536,0,0,1,0,0,0,1,1
'1133396028827295744,0,0,1,0,0,0,1,1
'1133423048843862016,0,0,1,0,0,0,1,0
'1132827741986988032,0,0,1,0,0,0,0,0
'1132716644327989253,0,0,1,0,0,0,0,0
'1132832870832246784,0,0,1,0,0,0,0,0
'1133376409693507589,0,1,1,0,0,0,0,0
'1133422530721603585,0,0,1,0,0,0,1,0
'1133340169329958912,0,1,1,0,0,0,0,0
'1132703098554576896,0,0,0,0,0,0,0,0
'1133441203242975234,0,0,0,0,0,0,0,0
'1132763760115015680,0,0,1,0,0,0,1,1
'1132903214880317440,0,1,1,0,0,0,1,1
'1133443462513057792,0,0,1,0,0,0,1,1
'1133240733085970432,1,1,1,0,0,0,0,0
'1132859636191834112,0,1,1,0,0,0,0,0
'1132686847816155138,0,0,1,0,0,0,1,1
'1133290615071027200,0,0,1,0,0,0,0,0
'1133128366817718272,0,0,0,0,0,0,0,0
'1133437893849079808,0,0,1,0,0,0,1,1
'1132715253702074368,0,0,1,0,0,0,0,0
'1133467563143376897,0,0,0,0,0,0,1,1
'1133344245744431106,1,1,1,0,0,0,0,0
'1132736043617280001,0,0,1,0,0,0,0,0
'1132858889773432832,0,0,1,0,0,0,1,1
'1133390696830910465,0,0,1,0,0,0,1,1
'1128562812433915909,0,0,1,0,0,0,0,0
'1133459427132989440,0,0,1,0,0,0,0,0
'1133459503880527873,0,0,1,0,0,0,0,0
'1134894744952139776,0,0,0,0,0,0,1,1
'1133378764178690049,0,0,1,0,0,0,0,0
'1132831754493071365,0,0,1,0,0,0,0,0
'1133406726554816512,0,1,1,0,0,0,1,1
'1133400078641696769,0,0,1,0,0,0,0,0
'1132955135154561025,0,0,0,0,0,0,0,0
'1133392842678784000,0,1,1,0,0,0,1,1
'1135199617044406272,0,0,1,0,0,0,0,0
'1133405739760984065,0,0,1,0,0,0,1,0
'1132820795481313283,0,0,0,0,0,0,0,0
'1133147131982823424,0,0,1,0,0,0,0,0
'1132685592687501312,0,0,1,0,0,0,0,0
'1132736511433166854,0,0,1,0,0,0,0,0
'1135023670324355073,0,0,1,0,0,0,0,0
'1132716302966185984,0,0,1,0,0,0,0,0
'1132835439704977408,0,1,1,0,0,0,0,0
'1132686215273111558,0,1,1,0,0,0,0,0
'1132686306734215168,0,0,1,0,0,0,0,0
'1133434481740795904,0,0,1,0,0,0,1,1
'1132955674797858816,0,1,1,0,0,0,1,1
'1132770022810689536,0,0,1,0,0,0,0,0
'1132852903851515905,0,0,1,0,0,0,1,1
'1132685884015333382,0,0,1,0,0,0,0,0
'1133151616754786304,0,1,1,0,0,0,0,0
'1132686129541648385,0,0,1,0,0,0,0,0
'1132856781183561729,0,0,1,0,0,0,0,0
'1132727965412929536,0,0,1,0,0,0,0,0
'1132704234485559301,0,1,1,0,0,0,0,0
'1132704192177549317,0,1,1,0,0,0,1,1
'1133179203287953410,1,1,1,0,0,0,0,0
'1132736233820573696,0,0,1,0,0,0,0,0
'1132734938606915588,0,0,0,0,0,0,0,0
'1132692524697391104,0,0,0,0,0,0,0,0
'1133473620855021575,0,0,1,0,0,0,0,0
'1133248591760224256,0,0,1,0,0,0,0,0
'1133401171522072577,0,0,1,0,0,0,0,0
'1133437935817150464,0,0,1,0,0,0,1,0
'1132746568954765312,0,1,1,0,0,0,0,0
'1132703552437022720,0,0,1,0,0,0,0,0
'1132685433576525824,0,0,1,0,0,0,0,0
'1132703969896259584,0,1,1,0,0,0,0,0
'1132851057384726529,0,1,1,0,0,0,0,0
'1135142563797766144,0,0,1,0,0,0,1,1
'1135033415449939968,0,0,1,0,0,0,1,1
'1132731199011471360,0,0,1,0,0,0,0,0
'1132685942043684865,0,0,1,0,0,0,0,0
'1134473635916374016,0,0,1,0,0,0,1,1
'1132686665401753600,0,0,1,0,0,0,0,0
'1132901026921631744,0,1,1,0,0,0,1,1
'1132724474720206849,0,0,1,0,0,0,0,0
'1132857595008434176,0,1,1,0,0,0,1,1
'1132714432646340608,0,0,1,0,0,0,0,0
'1132855724302917632,0,0,0,0,0,0,0,0
'1133200817786216448,0,0,1,0,0,0,0,0
'1133331205548630022,0,1,1,0,0,0,0,0
'1135031073224699905,0,0,1,0,0,0,0,0
'1132858474986180609,0,1,1,0,0,0,1,1
'1132828127468634113,0,0,1,0,0,0,0,0
'1132703792221368321,0,1,1,0,0,0,0,0
'1132924790614908928,1,1,1,0,0,0,0,0
'1132988683311755264,0,0,1,0,0,0,0,0
