End of Epoch: 1  |  Train Loss: 0.695  |  Validation Loss: 0.698  |  Train Acc: 50.44%  |  Validation Acc: 49.52% 
End of Epoch: 2  |  Train Loss: 0.694  |  Validation Loss: 0.697  |  Train Acc: 49.65%  |  Validation Acc: 47.12% 
End of Epoch: 3  |  Train Loss: 0.693  |  Validation Loss: 0.694  |  Train Acc: 50.78%  |  Validation Acc: 49.76% 
End of Epoch: 4  |  Train Loss: 0.693  |  Validation Loss: 0.694  |  Train Acc: 50.48%  |  Validation Acc: 49.76% 
End of Epoch: 5  |  Train Loss: 0.692  |  Validation Loss: 0.695  |  Train Acc: 50.76%  |  Validation Acc: 50.48% 
End of Epoch: 6  |  Train Loss: 0.691  |  Validation Loss: 0.696  |  Train Acc: 51.43%  |  Validation Acc: 49.52% 
End of Epoch: 7  |  Train Loss: 0.692  |  Validation Loss: 0.695  |  Train Acc: 51.26%  |  Validation Acc: 49.52% 
End of Epoch: 8  |  Train Loss: 0.691  |  Validation Loss: 0.691  |  Train Acc: 51.84%  |  Validation Acc: 53.12% 
End of Epoch: 9  |  Train Loss: 0.682  |  Validation Loss: 0.695  |  Train Acc: 55.99%  |  Validation Acc: 56.49% 
End of Epoch: 10  |  Train Loss: 0.657  |  Validation Loss: 0.679  |  Train Acc: 61.92%  |  Validation Acc: 60.34% 
End of Epoch: 11  |  Train Loss: 0.635  |  Validation Loss: 0.656  |  Train Acc: 64.81%  |  Validation Acc: 62.98% 
End of Epoch: 12  |  Train Loss: 0.615  |  Validation Loss: 0.636  |  Train Acc: 67.34%  |  Validation Acc: 64.66% 
End of Epoch: 13  |  Train Loss: 0.594  |  Validation Loss: 0.631  |  Train Acc: 69.71%  |  Validation Acc: 68.03% 
End of Epoch: 14  |  Train Loss: 0.590  |  Validation Loss: 0.618  |  Train Acc: 70.09%  |  Validation Acc: 67.55% 
End of Epoch: 15  |  Train Loss: 0.565  |  Validation Loss: 0.610  |  Train Acc: 71.95%  |  Validation Acc: 68.99% 
End of Epoch: 16  |  Train Loss: 0.555  |  Validation Loss: 0.610  |  Train Acc: 73.02%  |  Validation Acc: 69.95% 
End of Epoch: 17  |  Train Loss: 0.544  |  Validation Loss: 0.609  |  Train Acc: 74.41%  |  Validation Acc: 71.88% 
End of Epoch: 18  |  Train Loss: 0.541  |  Validation Loss: 0.568  |  Train Acc: 74.15%  |  Validation Acc: 73.32% 
